artist,venue,date,emoji,summary,sounds_like,genre,requester
Amyl and The Sniffers,Red Rocks Amphitheatre,2026-06-17,💥,Aussie punk mayhem with snarling riffs,The Chats; IDLES,Punk,Mandi
Tycho,The Mishawaka,2026-06-20,🌄,Ambient-electronica bliss for a canyon sunset,Bonobo; Boards of Canada,Electronic,Mandi
The Avett Brothers,Red Rocks Amphitheatre,2026-07-10,🪕,Heartforward folk-rock singalongs,Trampled By Turtles; The Lumineers,Americana,Mandi
The Church,Summit Music Hall,2026-07-11,🌙,Dreamy post-punk jangle and neo-psych atmosphere,The Psychedelic Furs; Echo & The Bunnymen,Indie/Psych,Mandi
The Avett Brothers,Red Rocks Amphitheatre,2026-07-11,🪕,Earnest harmonies and foot-stomp warmth,The Milk Carton Kids; Dawes,Americana,Mandi
The Avett Brothers,Red Rocks Amphitheatre,2026-07-12,🪕,Big-hearted Americana closer to their Red Rocks run,Langhorne Slim; Iron & Wine,Americana,Mandi
The Head and The Heart,Red Rocks Amphitheatre,2026-07-15,❤️,Warm harmony-rich indie folk,Of Monsters and Men; The Lumineers,Indie Folk,Mandi
The Head and The Heart,Red Rocks Amphitheatre,2026-07-16,❤️,Another night of radio-ready festival folk,Joseph; Rayland Baxter,Indie Folk,Mandi
Jon Batiste,Snipe Hunt,2026-07-18,🎹,"Joyous, genre-blurring piano fireworks",Lake Street Dive; Brittany Howard,Soul/Jazz,Mandi
Rainbow Kitten Surprise,Fiddler's Green Amphitheatre,2026-07-25,🌈,Genre-smearing indie-rock theatrics,Glass Animals; Mt. Joy,Indie Rock,Mandi
Zach Bryan,Empower Field at Mile High,2026-08-13,🤠,"Raspy, emotional alt-country anthems",Tyler Childers; Charles Wesley Godwin,Country/Americana,Mandi
MJ Lenderman,Empower Field at Mile High,2026-08-13,🌾,Scrappy indie-country fuzz with sardonic charm,Wednesday; Silver Jews,Indie Rock,Mandi
Mt. Joy,Red Rocks Amphitheatre,2026-08-13,🌅,Feel-good jam-leaning indie rock,Caamp; Rainbow Kitten Surprise,Indie Rock,Mandi
MJ Lenderman,Empower Field at Mile High,2026-08-14,🌾,"Gritty, guitar-forward alt-folk weirdness",Hovvdy; Drive-By Truckers,Indie/Americana,Mandi
Zach Bryan,Empower Field at Mile High,2026-08-14,🤠,Two-night run of gravel-voiced Americana catharsis,Noah Kahan; American Aquarium,Country/Americana,Mandi
Mt. Joy,Red Rocks Amphitheatre,2026-08-14,🌅,Breezy indie uplift with festival glow,Head and the Heart; The Revivalists,Indie Rock,Mandi
Alison Krauss,Arcadia 2026 Tour,2026-08-14,🪕,Angelic bluegrass purity and fiddle grace,Union Station; Dolly Parton,Bluegrass,Mandi
Mt. Joy,Fiddler's Green Amphitheatre,2026-08-15,🌅,Feel-good festival indie for summer nights,Camp; Young the Giant,Indie Rock,Mandi
Alison Krauss,Arcadia 2026 Tour,2026-08-16,🪕,Another night of luminous Appalachian vocals,Gillian Welch; Emmylou Harris,Bluegrass,Mandi
Barenaked Ladies,Red Rocks Amphitheatre,2026-08-17,🤣,Whimsical alt-pop nostalgia and crowd-pleasing hooks,They Might Be Giants; Gin Blossoms,Alt Rock,Mandi
Alison Krauss,Arcadia 2026 Tour,2026-08-18,🪕,Bluegrass refinement and crystalline harmonies,Nickel Creek; Sarah Jarosz,Bluegrass,Mandi
The Weather Station,Gerald R Ford Amphitheater,2026-08-25,🌤,"Intimate, poetic folk-rock in the mountain air",Bon Iver; Hand Habits,Indie Folk,Mandi
Ray LaMontagne,Gerald R Ford Amphitheater,2026-08-25,🌒,"Smoky, soul-folk warmth outdoors",Gregory Alan Isakov; Amos Lee,Folk/Soul,Mandi
The Weather Station,Red Rocks Amphitheatre,2026-08-26,🌤,Expansive art-folk with atmospheric charm,Weyes Blood; Phoebe Bridgers,Indie Folk,Mandi
Ray LaMontagne,Red Rocks Amphitheatre,2026-08-26,🌒,Gravel-toned storytelling at an iconic venue,Hozier; Damien Rice,Folk/Soul,Mandi
The Breeders,Coors Field,2026-08-27,🎸,Grunge-era alt-rock legends with fuzzed-out hooks,Pixies; Sleater-Kinney,Indie/Alt Rock,Mandi
Gregory Alan Isakov,Red Rocks Amphitheatre,2026-09-06,🌾,Whispered indie-folk landscapes and orchestral glow,Iron & Wine; Sufjan Stevens,Indie Folk,Mandi
Gregory Alan Isakov,Red Rocks Amphitheatre,2026-09-07,🌾,Cinematic folk backed by the Colorado Symphony,Andrew Bird; José González,Indie Folk,Mandi
Peter Hook & The Light,Ogden Theatre,2026-09-14,🎛,New Order & Joy Division deep cuts from the source,The Cure; Echo & The Bunnymen,Post-Punk,Mandi
Thee Oh Sees,Ogden Theatre,2026-10-11,🌀,Frenzied psych-garage freakouts for the true heads,King Gizzard; Oh Sees (classic era),Psych Rock,Mandi
